param,metric,slope,intercept,r_squared,p_value,n_samples
temperature,recon_WER,0.5129629629629627,3.7390740740740744,0.23799908186307345,0.009839409405907721,27
temperature,recon_CER,-0.009259259259259337,1.585740740740741,0.00060316541208262,0.903220562954748,27
temperature,recon_UTMOS,0.09444444444444434,2.5924074074074075,0.1702076607625858,0.032468178804996715,27
guidance_scale,recon_WER,-0.2254385964912281,4.2811111111111115,0.03234816457506455,0.3693517057265,27
guidance_scale,recon_CER,-0.15087719298245617,1.7722222222222224,0.11269923505927534,0.08690976303146511,27
guidance_scale,recon_UTMOS,-0.024853801169590677,2.671111111111111,0.008294720310067573,0.6514208262160435,27
n_steps,recon_WER,-0.0169047619047619,4.153333333333333,0.1072199593750997,0.09546115898071911,27
n_steps,recon_CER,0.0004761904761904799,1.5766666666666667,0.0006617586235420737,0.8986515087092979,27
n_steps,recon_UTMOS,0.006150793650793651,2.582222222222222,0.2994627743777033,0.003135631276597152,27
